id,name,renewable,frequency,required,categoryId,categoryName,dueFromHireDate,allowEmployeesToMarkComplete,linkUrl,description
1154,Inactive: 10 Hour OSHA (retired version),false,0,false,19864,Safety,,false,https://stacywitbeck.myabsorb.com/admin/oauth/bamboohrssoauthentication?id=770d7f65-0291-4948-95ce-b831ca4e1236&courseId=4159c290-c715-4305-ae17-25ea0ca2f8a1,"Online Course: OSHA 10-Hour Construction
"
1156,CPR/AED & First Aid,true,24,true,19864,Safety,,false,,
1159,Roadway Worker Protection (RWP / Railroad),true,12,true,19864,Safety,1 day,false,,
1209,Crisis Management,false,0,true,19864,Safety,,false,,
1210,Job Hazard Analysis,false,0,true,19864,Safety,,false,,
1211,Supervisor Drug and Alcohol Awareness (Reasonable Suspicion),false,0,false,19864,Safety,,false,https://stacywitbeck.myabsorb.com/admin/oauth/bamboohrssoauthentication?id=770d7f65-0291-4948-95ce-b831ca4e1236&courseId=9b9b083c-3658-4959-8de4-55157a7cee2c,Online Course: 
1232,Inactive: 8 Hour HAZWOPER Refresher (2022 Retired Version),false,0,false,19864,Safety,,false,https://stacywitbeck.myabsorb.com/admin/oauth/bamboohrssoauthentication?id=770d7f65-0291-4948-95ce-b831ca4e1236&courseId=f5030fb5-3270-4d75-a8dd-6f13066591ef,Online Course: HAZWOPER 2019 Refresher (8-Hour)
1233,Aerial Lifts Operator Certification,true,36,false,19864,Safety,,false,,
1236,Flagger Certification or Training,true,36,false,19864,Safety,,false,,
1237,Forklift Operator Certification,true,36,false,19864,Safety,,false,,
1238,Respiratory Protection - Users,true,12,false,19864,Safety,,false,,
1240,Traffic Control Supervisor/Manager Certification,true,36,false,19864,Safety,,false,,
1241,Lead Awareness,true,12,false,19864,Safety,,false,,
1280,Heat Illness Prevention - Employees,true,12,false,19864,Safety,,false,https://stacywitbeck.myabsorb.com/admin/oauth/bamboohrssoauthentication?id=770d7f65-0291-4948-95ce-b831ca4e1236&courseId=12679408-792d-4109-9114-0918538666c9,Online Course: Heat Stress / Heat Illness for Construction
1281,Heat Illness Prevention - Supervisors,true,12,false,19864,Safety,,false,,
1350,Traffic Control Maintainer Certification,true,36,false,19864,Safety,,false,,
1616,On Track Safety (Light Rail),true,12,true,19864,Safety,,false,,
1617,Railroad Contractor Orientation,true,12,false,19864,Safety,,false,,
1619,Roadway Maintenance Machine Operator (RMM / Railroad),true,12,false,19864,Safety,,false,,
1803,Crane Operator Certification (CCO),true,60,false,19864,Safety,,false,,
1804,Supervisor Safety Orientation,false,0,true,19864,Safety,1 day,false,,
1845,Power Tool Topic 01 - Chain Saws,false,0,false,19864,Safety,,false,,
1846,Power Tool Topic 02 - Cut-Off Saws,false,0,false,19864,Safety,,false,,
1847,Power Tool Topic 03 - Corded Saws,false,0,false,19864,Safety,,false,,
1848,Power Tool Topic 04 - Circular Saws,false,0,false,19864,Safety,,false,,
1850,Power Tool Topic 06 - Grinders,false,0,false,19864,Safety,,false,,
1851,Power Tool Topic 07 - Corded Drills,false,0,false,19864,Safety,,false,,
1852,Power Tool Topic 08 - Percussion Tools,false,0,false,19864,Safety,,false,,
1853,Power Tool Topic 09 - Generators,false,0,false,19864,Safety,,false,,
1854,Power Tool Topic 10 - Pneumatic (Air) Tools,false,0,false,19864,Safety,,false,,
1855,Power Tool Topic 11 - Nail Guns,false,0,false,19864,Safety,,false,,
1858,Power Tool Topic 14 - Cordless Tools,false,0,false,19864,Safety,,false,,
1859,Power Tool Topic 15 - Vibratory Rammers (Jumping Jacks),false,0,false,19864,Safety,,false,,
1860,Power Tool Topic 16 - Cutting Torches,false,0,false,19864,Safety,,false,,
1864,Qualified Rigger,false,0,false,19864,Safety,,false,,
1865,Qualified Signal Person,false,0,false,19864,Safety,,false,,
1866,Inactive: 30 Hour OSHA (retired version),false,0,false,19864,Safety,,false,https://stacywitbeck.myabsorb.com/admin/oauth/bamboohrssoauthentication?id=770d7f65-0291-4948-95ce-b831ca4e1236&courseId=eff1871b-421d-41cc-881b-e88ebb2791d3,"Online Course: OSHA 30-Hour Construction
"
1867,40 Hour HAZWOPER,false,0,false,19864,Safety,,false,https://stacywitbeck.myabsorb.com/admin/oauth/bamboohrssoauthentication?id=770d7f65-0291-4948-95ce-b831ca4e1236&courseId=d265d6bf-3cdd-4a3d-abd4-00006a800606,Online Course: HAZWOPER 40-Hour for All Industries
1868,Incident Investigation,false,0,false,19864,Safety,,false,,
1869,Confined Space Atmospheric Testing (Gas Detectors),false,0,false,19864,Safety,,false,,
1870,Inactive: Bloodborne Pathogens (Click Safety),false,0,false,19864,Safety,,false,https://stacywitbeck.myabsorb.com/admin/oauth/bamboohrssoauthentication?id=770d7f65-0291-4948-95ce-b831ca4e1236&courseId=1ed12e63-92da-4278-abd3-5badb52cbebf,Online Course: Bloodborne Pathogens for Construction
1871,Confined Space Competent Person,false,0,false,19864,Safety,,false,,
1872,Excavations/Trenches Competent Person,false,0,false,19864,Safety,,false,https://stacywitbeck.myabsorb.com/admin/oauth/bamboohrssoauthentication?id=770d7f65-0291-4948-95ce-b831ca4e1236&courseId=42c8d520-3261-4bd3-8e67-785d80eb162a,"Online Course: Competent Person, Excavations for Construction "
1873,Fall Protection Competent Person,false,0,false,19864,Safety,,false,https://stacywitbeck.myabsorb.com/admin/oauth/bamboohrssoauthentication?id=770d7f65-0291-4948-95ce-b831ca4e1236&courseId=c1aba23c-f4f9-48c1-95af-795850f015e2,"Online Course: Competent Person, Fall Protection for Construction (UPDATED)"
1874,Scaffolding Competent Person,false,0,false,19864,Safety,,false,,
1875,Confined Space Entry,false,0,false,19864,Safety,,false,,
1876,Defensive Driving,false,0,false,19864,Safety,,false,,
1877,Electrical Safety,false,0,false,19864,Safety,,false,,
1878,Shift Prep and Stretch Breaks Coach,false,0,false,19864,Safety,,false,,
